First Name;Family Name;Country;Room Type;Days Rented;Season;Month;MonthNumber;Price;AdjustedDays
Zhang;Khan;Vietnam;Superior Double;4;mid;May;5;6616;4
Liam;Nguyen;Japan;Superior Double;2;high;August;8;4206;3
Elena;Schneider;China;Suite;6;mid;October;10;16290;7
Ahmed;Khan;Nigeria;Standard Single;9;high;June;6;12213;12
Fatima;Smith;Vietnam;Standard Double;2;mid;May;5;3142;2
Chen;Rossi;Mexico;Standard Double;1;low;March;3;1287;1
Elena;Olsen;Pakistan;Standard Single;9;high;July;7;10953;12
Zhang;Nguyen;Germany;Standard Double;7;low;March;3;8638;6
Aisha;Patel;Australia;Grand Lit;10;low;January;1;12420;8
Isabella;Yamamoto;Egypt;Grand Lit;3;low;February;2;3495;2
David;Patel;France;Suite;1;low;November;11;2815;1
Ingrid;Martinez;Japan;Grand Lit;9;mid;April;4;11826;10
Sophia;Yamamoto;Italy;Grand Lit;8;high;August;8;13128;10
Chen;Martinez;Germany;Grand Lit;3;mid;September;9;3972;3
John;Brown;India;Spa Executive;5;mid;April;4;11025;6
Santiago;Rossi;Spain;Spa Executive;1;low;January;1;2376;1
David;Rossi;Italy;Junior Suite;5;high;July;7;11515;7
John;Johansson;Vietnam;Standard Double;4;high;July;7;6444;5
Isabella;Yamamoto;China;Suite;1;high;June;6;3265;1
Muhammad;Hassan;Sweden;Suite;6;mid;April;4;17868;7
David;Khan;Spain;Grand Lit;8;mid;April;4;10656;9
Muhammad;Rossi;Brazil;Superior Double;1;high;June;6;1884;1
Olivia;Nguyen;China;Standard Single;2;mid;September;9;2222;2
John;Patel;Sweden;Suite;5;low;March;3;13155;4
Carlos;Yamamoto;India;Suite;2;low;February;2;5868;2
Olivia;Brown;Pakistan;Suite;4;high;July;7;12836;5
Elena;Khan;China;Spa Executive;6;high;July;7;16320;8
Olivia;Johansson;South Korea;Junior Suite;9;mid;April;4;20448;10
Muhammad;Johansson;United States;Standard Single;7;mid;May;5;7560;8
Liam;Lee;Russia;Superior Double;1;mid;May;5;1884;1
Maria;Silva;Japan;Superior Double;2;mid;September;9;3864;2
Isabella;Rossi;Spain;Suite;3;low;January;1;7926;2
Isabella;Khan;France;Superior Double;6;low;December;12;10056;5
Hiroshi;Silva;Russia;Standard Single;3;low;November;11;2733;2
Chen;Ivanov;United States;Spa Executive;2;high;June;6;5206;3
Isabella;Ivanov;Egypt;Standard Single;2;high;July;7;2654;3
Chen;Hassan;Japan;Suite;3;low;February;2;7623;2
Ahmed;Ivanov;Japan;Superior Double;6;high;July;7;12402;8
Carlos;Khan;Mexico;Junior Suite;1;high;June;6;2299;1
Santiago;Dubois;United Kingdom;Superior Double;9;low;December;12;15444;7
Ingrid;Ivanov;Germany;Junior Suite;5;low;February;2;10205;4
Elena;Hassan;Australia;Spa Executive;3;low;January;1;6987;2
Carlos;Martinez;Canada;Superior Double;7;mid;May;5;12614;8
Santiago;Dubois;Australia;Grand Lit;2;low;March;3;2454;2
Zhang;Patel;Brazil;LOFT Suite;8;mid;May;5;26312;9
Ingrid;Müller;Pakistan;Standard Double;6;mid;April;4;9066;7
Fatima;Smith;Sweden;Standard Single;1;low;March;3;1162;1
Lucas;Silva;Sweden;Grand Lit;1;mid;October;10;1448;1
Chen;Ivanov;France;Grand Lit;8;mid;October;10;12624;9
Fatima;Khan;Egypt;Standard Double;2;high;July;7;3268;3
Olivia;Müller;China;Standard Single;9;high;June;6;12780;12
Lucas;Rossi;South Korea;Superior Double;2;low;March;3;3218;2
Muhammad;Nguyen;Canada;Junior Suite;10;low;February;2;18530;8
Isabella;Olsen;Sweden;Spa Executive;1;low;January;1;2168;1
Isabella;Khan;Australia;Grand Lit;4;high;June;6;5768;5
Aisha;Ivanov;Pakistan;LOFT Suite;8;high;August;8;30464;10
John;Ivanov;United States;Grand Lit;9;high;June;6;14175;12
Zhang;Sato;India;LOFT Suite;7;high;June;6;25641;9
Chen;Nguyen;Russia;Suite;9;mid;April;4;25992;10
Ingrid;Garcia;South Korea;Standard Double;8;low;February;2;12120;6
Maria;Johansson;India;Standard Single;6;mid;May;5;7464;7
Sara;Brown;Mexico;LOFT Suite;8;high;June;6;30096;10
Hiroshi;Lee;Mexico;Spa Executive;5;high;July;7;13820;7
Maria;Garcia;Germany;LOFT Suite;4;mid;May;5;13296;4
Elena;Nguyen;India;Suite;1;low;November;11;2717;1
Muhammad;Garcia;Brazil;LOFT Suite;2;high;June;6;7670;3
David;Sato;Spain;Standard Single;3;mid;May;5;3753;3
Aisha;Khan;Italy;LOFT Suite;2;mid;September;9;7190;2
Santiago;Hassan;Sweden;Standard Single;1;high;August;8;1387;1
Zhang;Olsen;France;Spa Executive;2;mid;May;5;4792;2
Maria;Lee;France;Grand Lit;5;low;February;2;5715;4
Olivia;Lee;Nigeria;Standard Double;3;low;February;2;3951;2
Chen;Nguyen;France;Grand Lit;3;low;November;11;3933;2
Sara;Johansson;Mexico;LOFT Suite;4;high;June;6;15188;5
Aisha;Müller;Pakistan;Spa Executive;9;low;November;11;18675;7
Ahmed;Brown;South Korea;Grand Lit;10;low;January;1;12310;8
Lucas;Silva;Canada;Standard Single;3;low;January;1;2808;2
Olivia;Patel;Australia;Standard Single;4;low;December;12;4140;3
Olivia;Garcia;France;LOFT Suite;4;low;November;11;13784;3
Elena;Rossi;Nigeria;Spa Executive;10;high;July;7;26530;13
Aisha;Brown;India;Superior Double;8;low;February;2;12504;6
Chen;Silva;Sweden;Junior Suite;8;high;August;8;19576;10
Ahmed;Olsen;United Kingdom;LOFT Suite;3;high;August;8;10515;4
Liam;Patel;Nigeria;Junior Suite;6;low;February;2;11712;5
Chen;Rossi;India;LOFT Suite;5;low;December;12;15530;4
Lucas;Olsen;Australia;Superior Double;7;low;November;11;10311;6
Elena;Olsen;Vietnam;Standard Single;6;high;June;6;7326;8
Santiago;Brown;Italy;Superior Double;4;mid;April;4;7032;4
Isabella;Dubois;Spain;Junior Suite;1;high;July;7;2397;1
Maria;Kim;Nigeria;Spa Executive;8;low;December;12;16376;6
Santiago;Kim;Canada;Standard Single;9;low;December;12;8280;7
Ahmed;Yamamoto;Nigeria;Spa Executive;1;high;July;7;2597;1
John;Johansson;Brazil;Junior Suite;6;high;July;7;14706;8
Hiroshi;Brown;Spain;Standard Double;10;high;August;8;17770;13
Chen;Müller;United States;Suite;1;low;January;1;2610;1
John;Ivanov;South Korea;Junior Suite;10;low;November;11;20590;8
Zhang;Yamamoto;South Korea;LOFT Suite;5;high;July;7;19275;7
Sophia;Smith;United Kingdom;Spa Executive;8;high;August;8;20560;10
Lucas;Brown;Australia;Spa Executive;5;mid;May;5;11830;6
David;Nguyen;Japan;Standard Single;7;high;August;8;9051;9
Santiago;Johansson;Vietnam;LOFT Suite;8;high;July;7;28144;10
Muhammad;Martinez;Sweden;Suite;10;low;November;11;25470;8
David;Rossi;Russia;Standard Single;3;mid;October;10;3021;3
Isabella;Rossi;Vietnam;Suite;10;low;November;11;29370;8
Carlos;Ivanov;India;Standard Double;3;mid;April;4;5031;3
Sara;Sato;Canada;Suite;10;low;November;11;27750;8
Ahmed;Dubois;United Kingdom;Junior Suite;4;low;November;11;8692;3
Fatima;Smith;France;Grand Lit;2;low;March;3;2606;2
Chen;Brown;China;Spa Executive;5;low;December;12;11150;4
Fatima;Yamamoto;India;Superior Double;8;low;March;3;12864;6
Hiroshi;Lee;Mexico;Junior Suite;3;mid;May;5;6633;3
Santiago;Brown;Mexico;Spa Executive;3;mid;May;5;7404;3
Isabella;Lee;Germany;Spa Executive;9;low;November;11;20295;7
Fatima;Sato;Sweden;LOFT Suite;10;high;July;7;39450;13
Sophia;Dubois;Brazil;Suite;7;low;December;12;19558;6
Sara;Kim;United Kingdom;Suite;8;high;June;6;24032;10
Isabella;Johansson;Australia;Standard Double;1;high;July;7;1838;1
John;Brown;Egypt;Suite;3;mid;April;4;9603;3
Hiroshi;Olsen;Nigeria;Spa Executive;5;high;June;6;12720;7
Aisha;Olsen;Mexico;Suite;5;high;August;8;16845;7
Sara;Smith;Italy;LOFT Suite;4;high;August;8;14504;5
Zhang;Kim;United Kingdom;Spa Executive;10;low;December;12;20280;8
Elena;Johansson;India;Superior Double;5;high;June;6;10005;7
Aisha;Khan;Spain;Junior Suite;8;mid;September;9;18696;9
Ahmed;Dubois;Canada;Superior Double;5;high;August;8;10260;7
Hiroshi;Kim;Italy;Standard Single;6;mid;April;4;6156;7
Sophia;Dubois;Nigeria;Superior Double;3;mid;October;10;5748;3
Carlos;Sato;Spain;Spa Executive;7;low;December;12;16646;6
Sophia;Brown;Sweden;Grand Lit;6;low;January;1;6828;5
Santiago;Müller;United States;Junior Suite;8;high;August;8;19048;10
Ahmed;Patel;United States;Standard Single;2;mid;October;10;2206;2
Sara;Schneider;India;Standard Single;8;high;July;7;10096;10
David;Dubois;Russia;LOFT Suite;6;mid;April;4;22218;7
Hiroshi;Silva;Canada;LOFT Suite;7;low;March;3;24241;6
Ahmed;Garcia;Australia;Spa Executive;8;high;July;7;21496;10
Sara;Nguyen;Japan;Standard Single;5;high;June;6;6415;7
Maria;Müller;Canada;Junior Suite;9;high;June;6;21150;12
Ahmed;Olsen;Sweden;Standard Double;4;high;August;8;7420;5
Ahmed;Yamamoto;United Kingdom;Grand Lit;7;mid;September;9;8624;8
John;Patel;Brazil;Superior Double;2;mid;September;9;3994;2
Carlos;Schneider;Pakistan;LOFT Suite;9;low;February;2;27729;7
Chen;Johansson;India;LOFT Suite;3;low;January;1;9027;2
Maria;Ivanov;Vietnam;Superior Double;6;low;December;12;10746;5
Carlos;Lee;Nigeria;Suite;8;low;November;11;22160;6
David;Rossi;Egypt;Superior Double;2;high;July;7;4082;3
John;Silva;Germany;Standard Double;3;high;July;7;5817;4
Muhammad;Garcia;South Korea;Junior Suite;3;high;June;6;7149;4
Olivia;Lee;Spain;Suite;3;high;August;8;9171;4
Lucas;Lee;Japan;Superior Double;3;high;June;6;5907;4
Sophia;Sato;United States;Standard Double;8;mid;May;5;10464;9
Lucas;Müller;Egypt;Standard Double;8;low;January;1;12240;6
Lucas;Nguyen;South Korea;Suite;10;mid;April;4;31110;11
Olivia;Schneider;Australia;Standard Double;7;mid;October;10;10584;8
John;Yamamoto;South Korea;Spa Executive;4;mid;October;10;9000;4
Maria;Garcia;Brazil;Spa Executive;7;high;July;7;19446;9
Fatima;Martinez;Sweden;Standard Single;4;mid;October;10;4688;4
Chen;Johansson;France;Spa Executive;4;mid;April;4;9844;4
Zhang;Kim;United States;Standard Double;1;high;June;6;1936;1
Liam;Brown;Mexico;Suite;10;high;August;8;31530;13
Lucas;Nguyen;Vietnam;Superior Double;9;mid;September;9;17424;10
Ingrid;Lee;Germany;Standard Double;9;low;February;2;11871;7
Olivia;Johansson;South Korea;Standard Double;8;low;November;11;11552;6
Isabella;Brown;Brazil;Standard Single;1;high;July;7;1434;1
Fatima;Smith;China;LOFT Suite;5;mid;September;9;17655;6
Elena;Hassan;Spain;Suite;2;low;March;3;5816;2
Zhang;Schneider;Japan;Standard Double;9;mid;October;10;13500;10
Liam;Yamamoto;Spain;Standard Single;4;high;July;7;5756;5
John;Lee;Canada;Standard Double;5;high;August;8;8245;7
Aisha;Lee;Sweden;Standard Single;4;mid;April;4;4208;4
David;Nguyen;Vietnam;LOFT Suite;3;high;July;7;11844;4
Hiroshi;Lee;Russia;Spa Executive;3;mid;April;4;7020;3
Ahmed;Rossi;South Korea;Standard Single;8;low;November;11;8160;6
Sophia;Müller;China;Standard Single;10;low;March;3;9240;8
Carlos;Dubois;Canada;Suite;6;low;November;11;17916;5
Fatima;Martinez;Pakistan;Junior Suite;9;high;June;6;22176;12
David;Garcia;Germany;Spa Executive;10;mid;October;10;24560;11
John;Lee;Australia;Superior Double;9;mid;October;10;14229;10
Liam;Yamamoto;India;Junior Suite;1;low;March;3;1886;1
Carlos;Dubois;United States;Superior Double;4;high;August;8;7740;5
Muhammad;Patel;Canada;Standard Single;3;mid;May;5;3027;3
Hiroshi;Nguyen;Australia;Spa Executive;7;high;August;8;18417;9
Liam;Kim;India;Grand Lit;4;high;July;7;6060;5
John;Nguyen;Germany;Standard Single;2;low;December;12;2212;2
David;Sato;United States;Junior Suite;4;mid;April;4;8640;4
Elena;Dubois;Italy;LOFT Suite;2;low;March;3;6712;2
Liam;Silva;Spain;Spa Executive;10;mid;April;4;24170;11
Muhammad;Khan;United Kingdom;Grand Lit;9;low;March;3;10008;7
Olivia;Nguyen;Brazil;Standard Double;8;mid;May;5;11208;9
Maria;Garcia;Sweden;Superior Double;6;high;June;6;11496;8
Fatima;Müller;Germany;Superior Double;4;high;August;8;7824;5
Sara;Rossi;Vietnam;Junior Suite;9;mid;October;10;18594;10
Carlos;Dubois;China;Junior Suite;5;mid;April;4;10475;6
Elena;Yamamoto;India;Standard Single;2;mid;October;10;2596;2
Aisha;Lee;Canada;LOFT Suite;1;high;August;8;3739;1
Ingrid;Brown;Vietnam;Grand Lit;7;mid;April;4;10724;8
Ingrid;Johansson;France;Suite;7;low;March;3;19432;6
Muhammad;Sato;Vietnam;Standard Single;6;low;January;1;6660;5
Ingrid;Rossi;Sweden;Suite;3;high;August;8;9555;4
Chen;Dubois;Russia;LOFT Suite;1;high;June;6;3598;1
Santiago;Sato;Russia;Superior Double;7;low;March;3;10052;6
Lucas;Nguyen;Pakistan;Grand Lit;5;mid;September;9;6090;6
Santiago;Schneider;United States;Grand Lit;2;low;February;2;2384;2
Aisha;Patel;Vietnam;Suite;9;low;November;11;23958;7
Sara;Garcia;China;Suite;2;mid;September;9;6172;2
Maria;Nguyen;Russia;Standard Single;8;mid;September;9;8152;9
Muhammad;Smith;Sweden;Suite;7;high;August;8;23541;9
David;Schneider;Russia;Standard Double;9;high;July;7;15084;12
Fatima;Smith;United Kingdom;Spa Executive;7;mid;April;4;16576;8
Chen;Olsen;France;Junior Suite;4;mid;April;4;8784;4
Elena;Khan;Russia;LOFT Suite;1;low;December;12;3094;1
Zhang;Müller;South Korea;Suite;9;high;August;8;27072;12
Elena;Silva;Mexico;LOFT Suite;6;high;July;7;22974;8
Santiago;Dubois;China;Grand Lit;7;high;August;8;11004;9
Muhammad;Kim;Italy;Superior Double;10;high;August;8;21110;13
Isabella;Khan;Brazil;Superior Double;3;high;July;7;5721;4
Carlos;Silva;Vietnam;LOFT Suite;2;low;January;1;6208;2
Chen;Yamamoto;India;Standard Double;8;low;November;11;11544;6
Ahmed;Lee;India;Standard Double;4;low;March;3;6356;3
Ahmed;Martinez;Vietnam;Grand Lit;1;high;June;6;1441;1
Olivia;Yamamoto;Russia;Grand Lit;9;low;January;1;10629;7
Ingrid;Rossi;Spain;Suite;4;high;July;7;13932;5
Santiago;Johansson;South Korea;Grand Lit;4;high;July;7;6444;5
Liam;Khan;Russia;Standard Single;9;high;June;6;11610;12
Sara;Smith;Sweden;LOFT Suite;1;mid;May;5;3357;1
Isabella;Olsen;Germany;Standard Double;7;low;March;3;10514;6
Sara;Dubois;Sweden;LOFT Suite;9;mid;May;5;29547;10
Muhammad;Sato;France;Superior Double;4;high;August;8;8256;5
Hiroshi;Olsen;Sweden;Suite;2;low;December;12;5198;2
Ingrid;Olsen;South Korea;Standard Single;10;mid;April;4;11520;11
Olivia;Silva;Sweden;LOFT Suite;2;high;July;7;7506;3
Liam;Johansson;South Korea;Spa Executive;4;high;August;8;10696;5
Chen;Lee;United Kingdom;Standard Double;6;low;March;3;8592;5
Ahmed;Martinez;Brazil;Superior Double;2;high;August;8;3926;3
Elena;Martinez;United States;Junior Suite;8;low;December;12;16344;6
Hiroshi;Garcia;India;LOFT Suite;6;mid;October;10;22596;7
Hiroshi;Hassan;France;LOFT Suite;9;mid;May;5;29286;10
Hiroshi;Schneider;India;Junior Suite;4;low;November;11;8004;3
Maria;Olsen;Canada;Junior Suite;8;mid;April;4;16392;9
Elena;Lee;Egypt;Suite;5;mid;April;4;14425;6
Olivia;Olsen;Spain;Standard Single;10;low;February;2;11160;8
Hiroshi;Garcia;United States;Spa Executive;2;low;February;2;4926;2
Aisha;Müller;Spain;Suite;7;low;November;11;20531;6
Muhammad;Brown;Germany;Standard Double;8;high;June;6;13496;10
Maria;Brown;China;Junior Suite;10;low;December;12;20140;8
Liam;Garcia;South Korea;Grand Lit;5;mid;May;5;7570;6
Zhang;Lee;China;Superior Double;6;mid;October;10;9066;7
Ingrid;Sato;France;Spa Executive;1;low;January;1;2087;1
Elena;Kim;Mexico;Suite;3;low;March;3;7560;2
Aisha;Patel;United Kingdom;Grand Lit;8;high;August;8;12872;10
Lucas;Schneider;South Korea;LOFT Suite;2;high;July;7;7062;3
John;Khan;France;Standard Single;2;high;July;7;2608;3
Santiago;Kim;Canada;Standard Single;9;low;December;12;9531;7
Hiroshi;Schneider;United States;Standard Double;9;low;March;3;11070;7
Liam;Khan;Mexico;Spa Executive;1;mid;April;4;2446;1
Carlos;Martinez;Australia;Spa Executive;4;low;January;1;9288;3
Aisha;Hassan;China;Superior Double;9;mid;September;9;15291;10
Lucas;Garcia;Spain;Suite;4;low;March;3;10792;3
Santiago;Olsen;Germany;Suite;2;mid;April;4;6452;2
Ahmed;Johansson;Australia;Spa Executive;6;mid;September;9;14532;7
John;Sato;France;Superior Double;8;low;March;3;14120;6
Fatima;Silva;Spain;Junior Suite;6;mid;April;4;13854;7
Hiroshi;Patel;France;Junior Suite;9;mid;September;9;20268;10
Carlos;Dubois;South Korea;Spa Executive;5;mid;May;5;11860;6
Fatima;Garcia;South Korea;Suite;8;mid;May;5;22616;9
Chen;Kim;Nigeria;Spa Executive;8;high;July;7;21816;10
Ahmed;Johansson;Nigeria;Spa Executive;9;high;June;6;22581;12
John;Dubois;Germany;Standard Single;10;mid;September;9;11000;11
David;Schneider;United Kingdom;Junior Suite;7;mid;October;10;15708;8
Liam;Ivanov;Pakistan;Grand Lit;3;low;November;11;3885;2
Santiago;Lee;Japan;Junior Suite;8;high;July;7;18088;10
John;Sato;Vietnam;Grand Lit;2;low;February;2;2288;2
Maria;Nguyen;France;Superior Double;6;high;July;7;11022;8
Lucas;Silva;France;LOFT Suite;10;mid;May;5;36090;11
Isabella;Müller;Nigeria;Spa Executive;6;low;February;2;12840;5
Sara;Schneider;South Korea;Standard Double;8;low;November;11;12368;6
Ahmed;Kim;Japan;Suite;2;high;June;6;6496;3
Hiroshi;Khan;Brazil;Junior Suite;4;high;July;7;9264;5
Ingrid;Olsen;Germany;Grand Lit;5;high;August;8;7430;7
Zhang;Hassan;Italy;Spa Executive;8;high;June;6;20624;10
Fatima;Schneider;Russia;Standard Double;5;low;January;1;6360;4
Zhang;Kim;United Kingdom;Superior Double;10;low;February;2;15410;8
Muhammad;Sato;United Kingdom;Superior Double;7;mid;May;5;13832;8
Lucas;Khan;Sweden;Spa Executive;1;low;November;11;2102;1
Hiroshi;Khan;France;Superior Double;8;low;January;1;11976;6
Sophia;Schneider;United Kingdom;Junior Suite;10;mid;May;5;21370;11
Zhang;Schneider;Japan;Grand Lit;10;low;February;2;12490;8
Lucas;Johansson;Canada;Junior Suite;1;mid;October;10;2260;1
Maria;Garcia;Sweden;Spa Executive;7;high;August;8;18284;9
Santiago;Khan;Italy;Spa Executive;7;mid;May;5;16163;8
Fatima;Dubois;Italy;Superior Double;8;low;February;2;14248;6
Fatima;Hassan;Egypt;Standard Double;9;high;August;8;15885;12
Zhang;Schneider;Germany;LOFT Suite;4;low;December;12;13108;3
Santiago;Kim;Brazil;Suite;3;mid;October;10;9030;3
Sophia;Patel;India;Standard Single;9;mid;September;9;10278;10
Ingrid;Müller;Mexico;Suite;6;low;March;3;15564;5
Muhammad;Patel;Italy;Spa Executive;6;high;August;8;16326;8
Lucas;Garcia;Egypt;Standard Double;2;low;December;12;2646;2
Lucas;Lee;Italy;Superior Double;5;mid;April;4;7845;6
Maria;Garcia;Russia;Suite;2;high;August;8;6592;3
Fatima;Patel;Brazil;Junior Suite;6;mid;October;10;14322;7
Olivia;Müller;Russia;Junior Suite;2;mid;April;4;4028;2
Ingrid;Nguyen;Pakistan;Grand Lit;8;high;June;6;14224;10
Maria;Smith;Spain;LOFT Suite;8;high;August;8;28600;10
Olivia;Silva;France;Suite;10;low;November;11;29710;8
Ingrid;Dubois;South Korea;Standard Single;7;low;January;1;6902;6
Olivia;Lee;Pakistan;Standard Single;6;mid;October;10;6966;7
John;Hassan;Nigeria;Superior Double;1;low;November;11;1615;1
Lucas;Smith;United States;Superior Double;2;mid;May;5;3566;2
Liam;Yamamoto;United Kingdom;Grand Lit;1;high;July;7;1772;1
Aisha;Martinez;China;Grand Lit;7;low;February;2;8883;6
David;Lee;Australia;Junior Suite;9;high;July;7;20925;12
Ahmed;Olsen;United Kingdom;Standard Double;10;mid;September;9;14690;11
Isabella;Smith;Germany;Standard Double;4;low;March;3;5556;3
Ingrid;Yamamoto;Brazil;Suite;9;mid;April;4;27738;10
Ahmed;Schneider;Sweden;Junior Suite;7;low;March;3;14091;6
Olivia;Johansson;France;Superior Double;5;mid;May;5;9055;6
Liam;Sato;Italy;Superior Double;7;mid;May;5;13272;8
Liam;Patel;United States;Standard Double;3;low;November;11;4359;2
Sara;Johansson;Germany;Standard Double;10;mid;September;9;16540;11
Maria;Garcia;Canada;LOFT Suite;2;high;June;6;7188;3
Olivia;Silva;United Kingdom;Spa Executive;2;low;January;1;4992;2
Elena;Sato;India;LOFT Suite;6;low;March;3;19608;5
Hiroshi;Müller;China;Superior Double;4;high;August;8;7228;5
Carlos;Silva;Egypt;Junior Suite;9;high;July;7;21285;12
John;Kim;Japan;Junior Suite;2;high;August;8;4780;3
Olivia;Schneider;Australia;Standard Single;8;low;February;2;9360;6
Ingrid;Ivanov;United Kingdom;Spa Executive;3;low;March;3;6552;2
John;Olsen;Sweden;Grand Lit;9;high;July;7;13050;12
Santiago;Johansson;Italy;Standard Double;10;high;June;6;18920;13
Sophia;Sato;Canada;Standard Double;6;mid;April;4;9276;7
Zhang;Garcia;Egypt;Junior Suite;1;high;July;7;2257;1
Santiago;Olsen;South Korea;Standard Double;5;low;November;11;7565;4
Lucas;Rossi;France;LOFT Suite;2;high;July;7;7522;3
Sara;Smith;South Korea;Grand Lit;5;mid;May;5;6395;6
Ahmed;Rossi;Vietnam;Suite;1;mid;May;5;3217;1
Lucas;Johansson;United Kingdom;LOFT Suite;1;low;December;12;3245;1
John;Nguyen;Mexico;Suite;1;low;March;3;2951;1
Isabella;Khan;Mexico;Standard Double;1;low;March;3;1575;1
Ahmed;Ivanov;United States;Standard Double;6;high;June;6;10230;8
Ingrid;Silva;Russia;Standard Single;8;high;August;8;11672;10
David;Brown;United States;Spa Executive;9;mid;April;4;23229;10
Lucas;Hassan;Canada;Junior Suite;5;high;July;7;11940;7
Isabella;Khan;India;Junior Suite;3;mid;May;5;6489;3
Hiroshi;Yamamoto;United States;Superior Double;2;mid;May;5;3194;2
Isabella;Müller;Vietnam;Standard Double;1;mid;September;9;1311;1
Ingrid;Rossi;Australia;Spa Executive;8;mid;May;5;19584;9
Olivia;Sato;Pakistan;Standard Double;6;high;August;8;11442;8
Liam;Johansson;Egypt;Grand Lit;9;low;November;11;10089;7
Sophia;Johansson;United Kingdom;LOFT Suite;9;high;June;6;33300;12
Hiroshi;Johansson;Nigeria;Superior Double;7;low;November;11;11725;6
Lucas;Kim;Sweden;Standard Single;6;low;March;3;6138;5
David;Brown;South Korea;Standard Double;3;high;August;8;5832;4
John;Martinez;Germany;Junior Suite;5;high;June;6;12385;7
John;Müller;Italy;Suite;10;low;January;1;29760;8
David;Dubois;Japan;Suite;2;high;July;7;6068;3
Ingrid;Hassan;Russia;Suite;10;low;January;1;26130;8
Aisha;Olsen;Sweden;Superior Double;2;high;August;8;4198;3
Muhammad;Schneider;Pakistan;Suite;3;low;February;2;7917;2
Santiago;Dubois;Italy;Standard Single;10;high;August;8;12450;13
Sara;Patel;Spain;LOFT Suite;3;high;August;8;11067;4
Santiago;Rossi;Russia;Spa Executive;6;low;January;1;14898;5
John;Rossi;Brazil;Spa Executive;6;mid;April;4;14118;7
Sara;Olsen;South Korea;Junior Suite;4;mid;October;10;9340;4
Elena;Yamamoto;Germany;Standard Double;4;mid;April;4;6384;4
Maria;Yamamoto;Spain;Superior Double;10;low;March;3;15490;8
Hiroshi;Dubois;Nigeria;Suite;2;low;February;2;5690;2
Fatima;Martinez;France;Superior Double;2;low;March;3;3568;2
Sophia;Smith;Russia;Suite;7;low;December;12;17717;6
Ingrid;Dubois;Russia;Junior Suite;4;high;July;7;9248;5
Ahmed;Ivanov;India;Superior Double;10;mid;April;4;15820;11
Isabella;Hassan;Germany;Spa Executive;3;mid;October;10;7260;3
Ingrid;Yamamoto;Mexico;Standard Double;6;high;August;8;10872;8
Muhammad;Sato;Russia;Junior Suite;7;low;January;1;14616;6
Elena;Kim;Italy;Junior Suite;6;mid;May;5;12618;7
Liam;Müller;Italy;Standard Single;4;high;July;7;5184;5
Santiago;Schneider;Egypt;Suite;1;mid;September;9;2933;1
Lucas;Hassan;Spain;Junior Suite;4;mid;September;9;8880;4
Elena;Garcia;South Korea;Spa Executive;10;high;June;6;25820;13
Sophia;Rossi;France;Grand Lit;2;mid;October;10;3160;2
Ahmed;Silva;China;Standard Single;8;low;March;3;9256;6
Carlos;Nguyen;United Kingdom;Standard Single;10;high;August;8;13990;13
Hiroshi;Johansson;Japan;Superior Double;10;low;December;12;17310;8
Ahmed;Schneider;Sweden;Suite;3;low;December;12;7704;2
Muhammad;Brown;Italy;Spa Executive;8;mid;May;5;19832;9
Sophia;Martinez;Brazil;Spa Executive;5;mid;October;10;11875;6
Hiroshi;Müller;Australia;Standard Single;3;high;June;6;4449;4
Ahmed;Müller;France;Spa Executive;2;mid;September;9;5182;2
John;Martinez;Italy;Standard Single;4;low;December;12;3648;3
Aisha;Schneider;United Kingdom;Junior Suite;2;mid;October;10;4180;2
Fatima;Dubois;Vietnam;Junior Suite;3;mid;October;10;7116;3
Zhang;Kim;Australia;Spa Executive;6;low;January;1;14580;5
Isabella;Rossi;China;LOFT Suite;2;high;June;6;7992;3
Santiago;Martinez;China;Spa Executive;3;low;December;12;6156;2
David;Smith;Italy;Junior Suite;7;mid;May;5;14644;8
Olivia;Hassan;Brazil;Junior Suite;3;low;December;12;6510;2
Sophia;Silva;Mexico;Grand Lit;10;mid;May;5;14090;11
Fatima;Yamamoto;Australia;Junior Suite;2;high;August;8;4708;3
Lucas;Smith;Japan;Spa Executive;4;mid;April;4;8948;4
Fatima;Lee;India;Superior Double;5;high;June;6;10880;7
Sophia;Dubois;India;Standard Double;6;mid;October;10;9084;7
Santiago;Lee;Brazil;Junior Suite;4;low;January;1;7824;3
Olivia;Smith;United Kingdom;Suite;10;high;July;7;33550;13
Carlos;Martinez;Brazil;Junior Suite;2;low;February;2;4028;2
Ahmed;Dubois;France;Suite;1;low;February;2;2860;1
Zhang;Hassan;China;Grand Lit;8;low;January;1;9064;6
Hiroshi;Brown;Mexico;Standard Double;4;low;February;2;5252;3
Muhammad;Nguyen;France;Standard Single;2;mid;September;9;2454;2
Hiroshi;Hassan;Egypt;Standard Single;4;mid;September;9;5076;4
Maria;Ivanov;Nigeria;Grand Lit;2;high;July;7;3570;3
Olivia;Lee;Brazil;Spa Executive;4;mid;September;9;9668;4
Olivia;Schneider;France;Suite;2;mid;September;9;6586;2
Carlos;Sato;China;LOFT Suite;6;mid;October;10;21186;7
Sara;Olsen;Russia;Suite;6;low;February;2;17136;5
Ingrid;Müller;United States;Grand Lit;1;high;August;8;1660;1
John;Dubois;India;Superior Double;9;mid;April;4;16461;10
Sara;Khan;Pakistan;Standard Single;7;mid;May;5;7707;8
Isabella;Schneider;Brazil;Standard Double;6;mid;April;4;9864;7
